COMM_NAME,Date,WPI
CABBAGE,1994-09,153.6
Banana,1994-09,98.3
Mango,1994-09,9999.9
apple,1994-09,136.5
Orange,1994-09,97.3
Cashewnuts,1994-09,98.9
Coconut,1994-09,84.1
Papaya,1994-09,106.8
Grapes,1994-09,9999.9
PINEAPPLE,1994-09,94.9
GUAVA,1994-09,116.8
LITCHI,1994-09,9999.9
SAPOTA,1994-09,9999.9
Rice,1994-10,113
Wheat,1994-10,107.7
Jowar,1994-10,121.4
Bajra,1994-10,114.2
Maize,1994-10,127.8
Barley,1994-10,132.4
Ragi,1994-10,109.8
Gram,1994-10,124.8
Arhar,1994-10,112.7
Moong,1994-10,121.8
Masur,1994-10,140.2
Urad,1994-10,176.7
Potato,1994-10,119.3
Sweet Potato,1994-10,128.8
Onion,1994-10,119.7
Tapioca,1994-10,90.5
Ginger,1994-10,186.9
Peas,1994-10,170.3
Tomato,1994-10,126.2
Cauliflower,1994-10,164.3
BRINJAL,1994-10,145.7
OKRA,1994-10,106
CABBAGE,1994-10,137.9
Banana,1994-10,94.5
Mango,1994-10,9999.9
apple,1994-10,143.6
Orange,1994-10,119.6
Cashewnuts,1994-10,96.5
Coconut,1994-10,76.4
Papaya,1994-10,110.1
Grapes,1994-10,108.3
PINEAPPLE,1994-10,97.2
GUAVA,1994-10,130
LITCHI,1994-10,9999.9
SAPOTA,1994-10,137.8
Rice,1994-11,113.5
Wheat,1994-11,110.6
Jowar,1994-11,128.3
Bajra,1994-11,125.1
Maize,1994-11,134.7
Barley,1994-11,139.5
Ragi,1994-11,113.1
Gram,1994-11,122.4
Arhar,1994-11,111.4
Moong,1994-11,125.4
Masur,1994-11,150.3
Urad,1994-11,195.2
Potato,1994-11,125.1
Sweet Potato,1994-11,113.4
Onion,1994-11,118.5
Tapioca,1994-11,97.3
Ginger,1994-11,182.5
Peas,1994-11,150.2
Tomato,1994-11,133.5
Cauliflower,1994-11,77.4
BRINJAL,1994-11,121.3
OKRA,1994-11,140.5
CABBAGE,1994-11,101.5
Banana,1994-11,93.1
Mango,1994-11,9999.9
apple,1994-11,142
Orange,1994-11,107.9
Cashewnuts,1994-11,100.2
